005010040264,HLTHY CHC,SP VEGETABLE BEEF,12,15OZ,01/29/2017,10.69,0.5,20.64,9.95,0.83,,,,,10.69,10.69,10.69,10.44,10.69,10.69,N,N
005010040268,HLTHYCHK,SPLIT PEA & HAM,12,15 OZ,01/29/2017,10.69,0.5,20.64,9.95,0.83,,,,,10.69,10.69,10.69,10.44,10.69,10.69,N,N
005010040262,HLTHY CHK,SP COUNTRY VEGETBL,12,15OZ,01/29/2017,10.69,0.5,20.64,9.95,0.83,,,,,10.69,10.69,10.69,10.44,10.69,10.69,N,N
005210009180,MCCORMICK,BURRITO MIX,12,1.62OZ,01/15/2017,3.85,0.5,7.44,3.59,0.30,,,3.85,3.85,3.85,,,,,,N,N
005210027462,MCCORMICK,GUACAMOLE SEASN MX,12,1OZ,01/15/2017,3.85,0.5,7.44,3.59,0.30,,,3.85,3.85,3.85,,,,,,N,N
005210002121,MCCORMIC,FAJITAS MARINADE,12,1.12OZ,01/15/2017,3.85,0.5,7.44,3.59,0.30,,,3.85,3.85,3.85,,,,,,N,N
005210009160,MCCORMICK,ENCHILADA SEASONG,12,1.5OZ,01/15/2017,3.85,0.5,7.44,3.59,0.30,,,3.85,3.85,3.85,,,,,,N,N
003000000000,&QUAKER,RTE CEREALS DSP,240,13   OZ,02/05/2017,396.0,0.5,768,372.00,1.55,305.0,305.0,305.0,300.0,300.0,396.0,396.0,396.0,396.0,,Y,Y
007431233131,N. BOUNTY,GREEN TEA EXTRCT,3,100CT,02/26/2017,8.8,0.5,17.1,8.30,2.77,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,8.8,8.8,N,N
001792900020,RED STAR,ACTIVE DRY YEAST,18,0.75OZ,02/26/2017,13.32,0.5,25.92,12.60,0.70,13.14,13.14,,,,,,,13.32,13.32,N,N
001792900028,RED STAR,YEAST QK RISE VERT,18,.75  OZ,02/26/2017,13.32,0.5,25.92,12.60,0.70,13.14,13.14,,,,,,,13.32,13.32,N,N
001510000000,CREAMETTE,MX LONG GOOD PALLT,1600,16OZ,01/15/2017,1026.0,0.5,2000,974.00,0.61,,,1026.0,1026.0,1026.0,1024.0,1024.0,1024.0,976.0,1024.0,Y,Y
007156420345,SPARKLE,WINDOW CLNR W/TRGR,12,33.8 OZ,01/01/2017,14.4,0.5,28.08,13.68,1.14,14.4,,,,,,,,,,N,N
001510000073,CREAMETTE,PASTA PALLET 16Z,540,16   OZ,01/15/2017,345.6,0.5,675,329.40,0.61,,,345.6,345.6,345.6,345.2,345.2,345.2,329.0,345.2,Y,Y
001510000000,CREAMETTE,HALF PALLET,800,1EA,01/15/2017,512.0,0.5,1000,488.00,0.61,,,512.0,512.0,512.0,512.0,512.0,512.0,488.0,512.0,Y,Y
004610040006,SARGENTO,SHR OFFBLK MLD CHD,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610040012,SARGENTO,SHR OFBLK TRD MZZ,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610040029,SARGENTO,SHR OFBL TRD SHCHD,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610040051,SARGENTO,FSH OFBLK MILD CHD,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610040066,SARGENTO,FSH OFBLK SHP CHDR,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610040076,SARGENTO,FSH OFBLK CHDR JK,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610040092,SARGENTO,FSH OFBLK 4CHS MEX,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610041107,SARGENTO,SHR OFBLK 4CHS MEX,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610041102,SARGENTO,PEPPER JACK SHREDS,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610040014,SARGENTO,FINECUT COLBY JACK,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610040055,SARGENTO,FINECUT MOZZARELLA,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
004610040018,SARGENTO,SHRD MONT JACK OTB,12,8    OZ,01/01/2017,18.61,0.5,36.36,17.75,1.48,18.61,18.61,18.61,,,,,,11.89,11.89,N,N
003500000000,COLGATE,MAX FRESH TP FS DS,48,6    OZ,01/01/2017,68.96,0.5,135.84,66.88,1.39,68.96,,,,,,59.04,59.04,59.04,59.04,Y,Y
001792900005,&RED STAR,VERT 3CT STRIP SHP,144,.75  OZ,01/01/2017,105.12,0.5,207.36,102.24,0.71,105.12,105.12,,,,,,,105.12,105.12,Y,Y
001792900026,&RED STAR,YST COMBO HRZ SHPR,288,.75OZ,01/01/2017,210.24,0.5,414.72,204.48,0.71,210.24,210.24,,,,,,,210.24,210.24,Y,Y
002100002632,KRAFT,30CS 30 Z MAYO PLT,360,30   FZ,01/22/2017,824.7,0.5,1627.2,802.50,2.23,360.0,360.0,396.0,824.7,824.7,824.7,695.1,695.1,623.1,,Y,Y
